artista,musica,album,kmeans_cluster
Fleetwood Mac,Hold Me,Greatest Hits,2
Black Veil Brides,Saviour,Set The World On Fire,2
Selena Gomez,Nobody,Revival,4
Sugarcult,Memory,Palm Trees and Power Lines,2
Sugarcult,Memory,Palm Trees and Power Lines,8
Sugarcult,Memory,Palm Trees and Power Lines,5
Sugarcult,Memory,Palm Trees and Power Lines,4
Pete Francis,Untold,Untold,2
Zimmer,Moonrise,Coming of Age,8
Cut Copy,Need You Now,Zonoscope,2
Cut Copy,Need You Now,Zonoscope,4
Mumford & Sons,I Will Wait,Babel,2
Mumford & Sons,I Will Wait,Babel,4
Shiba San,Okay,Okay,2
Shiba San,Okay,Okay,3
Shiba San,Okay,Okay,5
IDER,Pulse,Pulse,2
Soda Stereo,Coral,Comfort Y Musica Para Volar,2
J. Cole,Forbidden Fruit,Born Sinner,2
Lil Durk,Decline,Decline,8
Meghan Trainor,Mom,Thank You,2
Phil Wickham,The Ascension,The Ascension,2
Metallica,One,...And Justice For All,2
Metallica,One,...And Justice For All,5
The Vespers,Close My Eyes,The Fourth Wall,2
Khalid,Winter,American Teen,8
AJR,Weak,The Click,8
AJR,Weak,The Click,7
Lindsey Stirling,Transcendence,Lindsey Stirling,8
Dimitri Vangelis & Wyman,Legacy,Legacy,2
Dimitri Vangelis & Wyman,Legacy,Legacy,2
Transviolet,Future,Future,2
Frankie Cosmos,Sinister,Next Thing,2
Tyga,Bang Out,Well Done 4,4
Ram Di Dam,Flashbacks,A Liar To Admire Ep,2
Kehlani,Undercover,SweetSexySavage,2
Kehlani,Undercover,SweetSexySavage,2
RHODES,Wishes,Wishes,2
Ray LaMontagne,Supernova,Supernova,4
Vampire Weekend,Run,Contra,2
Vampire Weekend,Run,Contra,5
Maddie & Tae,Sierra,Start Here,2
Ed Sheeran,Wake Me Up,+,2
Ed Sheeran,Wake Me Up,+,2
Ed Sheeran,Wake Me Up,+,1
Three Days Grace,Break,Life Starts Now,2
Terror Jr,Caramel,Bop City 2: TerroRising,2
Terror Jr,Caramel,Bop City 2: TerroRising,2
Timeflies,Crystal Ball,After Hours,4
Incubus,Pardon Me,Make Yourself - Tour Edition,2
Incubus,Pardon Me,Make Yourself - Tour Edition,5
Fiona Apple,Daredevil,The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do,4
Ace of Base,Don't Turn Around,The Sign (US Album) [Remastered],4
Dillon Francis,Say Less,Say Less,4
Dillon Francis,Say Less,Say Less,7
Audio Push,Servin',Servin',2
The Black Keys,Gotta Get Away,Turn Blue,4
Social Club Misfits,Coogi Sweater,Misfits 2,2
K CAMP,Blessing,In Due Time,8
Black Veil Brides,Ritual,Set The World On Fire,4
Black Veil Brides,Ritual,Set The World On Fire,0
Judas Priest,Breaking the Law,British Steel,4
Zomboy,Lights Out,Neon Grave,2
Zomboy,Lights Out,Neon Grave,0
Zomboy,Lights Out,Neon Grave,1
Young Rising Sons,Fucked Up,Fucked Up,4
Young Rising Sons,Fucked Up,Fucked Up,3
Young Rising Sons,Fucked Up,Fucked Up,5
Young Rising Sons,Fucked Up,Fucked Up,7
Prince Royce,Handcuffs,Double Vision,2
Brad Paisley,The World,Original Album Classics,8
50 Cent,In My Hood,The Massacre,2
Toppdogg,Rainy Day,First Street,4
Blackmill,Miracle,Miracle,2
Blackmill,Miracle,Miracle,2
Blackmill,Miracle,Miracle,4
The Pussycat Dolls,Wait A Minute,PCD,2
Ben Sollee,Letting Go,Letting Go,2
Lil Wyte,Space,No Sick Days,2
Lil Wyte,Space,No Sick Days,4
Best Coast,Goodbye,Crazy For You,2
Best Coast,Goodbye,Crazy For You,5
Mumford & Sons,Believe,Wilder Mind,2
Mumford & Sons,Believe,Wilder Mind,3
Mumford & Sons,Believe,Wilder Mind,4
Mumford & Sons,Believe,Wilder Mind,7
Mumford & Sons,Believe,Wilder Mind,1
Uncle Kracker,Endlessly,Endlessly,4
Nora En Pure,Come With Me,Ultra Deep House,2
Nora En Pure,Come With Me,Ultra Deep House,4
Fightstar,Overdrive,Behind The Devil's Back,4
Caveman,In the City,Caveman,4
Hollywood Undead,We Are,Notes From The Underground,4
Hollywood Undead,We Are,Notes From The Underground,4
Bruno Mars,Show Me,Unorthodox Jukebox,2
Bruno Mars,Show Me,Unorthodox Jukebox,6
The Pretty Reckless,Take Me Down,Who You Selling For,2
St. Lucia,Elevate,When The Night (Deluxe),2
St. Lucia,Elevate,When The Night (Deluxe),7
St. Lucia,Elevate,When The Night (Deluxe),7
St. Lucia,Elevate,When The Night (Deluxe),1
Frank Ocean,Nights,Blonde,2
Frank Ocean,Nights,Blonde,7
Logan Henderson,Sleepwalker,Sleepwalker,4
INFINITE,Eternity,INFINITE ONLY,2
Dave Matthews Band,Satellite,Under the Table and Dreaming (Expanded Edition),2
Dave Matthews Band,Satellite,Under the Table and Dreaming (Expanded Edition),4
Disturbed,The Light,Immortalized,4
Disturbed,The Light,Immortalized,0
Disturbed,The Light,Immortalized,6
Disturbed,The Light,Immortalized,1
Disturbed,The Light,Immortalized,1
Trace Adkins,Chrome,Chrome,2
Trace Adkins,Chrome,Chrome,3
Kanye West,Fade,The Life Of Pablo,4
Kanye West,Fade,The Life Of Pablo,1
Steve Aoki,Flight,Flight,2
Oh Wonder,Without You,Oh Wonder,4
Oh Wonder,Without You,Oh Wonder,4
Knife Party,Resistance,Abandon Ship,2
Zedd,Find You,Clarity,4
Commodores,Easy,Commodores,2
Commodores,Easy,Commodores,3
Commodores,Easy,Commodores,7
Deitrick Haddon,Amen,Crossroads,2
Deitrick Haddon,Amen,Crossroads,5
Deitrick Haddon,Amen,Crossroads,6
Calvin Harris,Under Control,Motion,2
Calvin Harris,Under Control,Motion,1
Crystal Castles,Suffocation,Crystal Castles (II),2
Jason Derulo,Blind,Jason Derulo,2
Jason Derulo,Blind,Jason Derulo,2
Jason Derulo,Blind,Jason Derulo,0
Margot & The Nuclear So And So's,Skeleton Key,The Dust Of Retreat,8
Xscape,Understanding,Hummin' Comin' At 'Cha,2
Logic,Buried Alive,Under Pressure,8
Logic,Buried Alive,Under Pressure,5
Logic,Buried Alive,Under Pressure,5
Logic,Buried Alive,Under Pressure,0
Karmin,Drifter,Pulses,2
FRENSHIP,Nowhere,Nowhere,2
Shawn Mendes,Ruin,Illuminate,2
Kav Verhouzer,Hiding,Hiding,2
Of Monsters and Men,Crystals,Beneath The Skin,2
Houndmouth,For No One,Little Neon Limelight,2
Khalid,Reasons,Reasons,2
Prince Royce,Addicted,Number 1's,2
Prince Royce,Addicted,Number 1's,4
Prince Royce,Addicted,Number 1's,4
Prince Royce,Addicted,Number 1's,4
Prince Royce,Addicted,Number 1's,0
Chris Brown,Questions,Heartbreak on a Full Moon,8
Frank Ocean,White,channel ORANGE,2
Nitemayor,Vampire,Vampire,2
The Smashing Pumpkins,Today,"Rotten Apples, The Smashing Pumpkins Greatest Hits",2
The Smashing Pumpkins,Today,"Rotten Apples, The Smashing Pumpkins Greatest Hits",5
Oliver Daldry,After Dark,After Dark,2
Elley Duhé,immortal,immortal,2
Nico & Vinz,Imagine,Black Star Elephant,8
Nico & Vinz,Imagine,Black Star Elephant,1
Kevin Drew,Bullseye,Free Vol. 4 - EP,4
Chiddy Bang,Truth,The Preview,2
Chiddy Bang,Truth,The Preview,4
Fabolous,My Time,Loso's Way,5
Fabolous,My Time,Loso's Way,3
Fabolous,My Time,Loso's Way,5
Fabolous,My Time,Loso's Way,0
Usher,OMG,Raymond v Raymond,5
Usher,OMG,Raymond v Raymond,5
OneRepublic,Feel Again,Native,5
Quality Control,On Me,On Me,5
Quality Control,On Me,On Me,5
fun.,All Alone,Some Nights,5
fun.,All Alone,Some Nights,5
Mike Sherm,Asshole,Asshole,5
Mike Sherm,Asshole,Asshole,3
Little Daylight,Overdose,Hello Memory,5
Little Daylight,Overdose,Hello Memory,0
Joe,Stutter,My Name Is Joe,5
Joe,Stutter,My Name Is Joe,4
Calvin Harris,Cash Out,Funk Wav Bounces Vol.1,5
Fetty Wap,Wake Up,Wake Up,5
Fetty Wap,Wake Up,Wake Up,5
Fetty Wap,Wake Up,Wake Up,5
Fetty Wap,Wake Up,Wake Up,4
Smokepurpp,Audi.,Deadstar,3
Smokepurpp,Audi.,Deadstar,6
Pierce Fulton,No More,No More,5
Young Buck,Get Buck,Buck The World,5
will.i.am,Check It Out,Pink Friday,3
will.i.am,Check It Out,Pink Friday,3
will.i.am,Check It Out,Pink Friday,1
6 Dogs,Faygo Dreams,6 Dogs,5
ABRA,PULL UP,PRINCESS,3
Ratt,Lay It Down,Invasion Of Your Privacy,5
The Weeknd,Can't Feel My Face,Beauty Behind The Madness,3
The Weeknd,Can't Feel My Face,Beauty Behind The Madness,1
Brooks & Dunn,Lost and Found,The Collection,5
Regina Spektor,Us,Mary Ann meets the Gravediggers and other short stories by regina spektor,3
Sabrina Carpenter,On Purpose,EVOLution,5
David Nail,Red Light,I'm About To Come Alive,5
David Nail,Red Light,I'm About To Come Alive,3
Poolside,Harvest Moon,Pacific Standard Time,3
Céline Dion,I'm Alive,A New Day Has Come,3
Red Hot Chili Peppers,Charlie,Stadium Arcadium,3
Future,Scrape,FUTURE,5
Eminem,Puke,Encore,3
LP,Muddy Waters,Lost on You,3
Jessie J,Bang Bang,My Everything,3
Jessie J,Bang Bang,My Everything,1
Jessie J,Bang Bang,My Everything,1
Jessie J,Bang Bang,My Everything,1
"Tyler, The Creator",Yonkers,Goblin,5
"Tyler, The Creator",Yonkers,Goblin,5
"Tyler, The Creator",Yonkers,Goblin,5
ILoveMakonnen,Swerve,I LOVE MAKONNEN,5
ILoveMakonnen,Swerve,I LOVE MAKONNEN,5
ILoveMakonnen,Swerve,I LOVE MAKONNEN,5
Rich Gang,Lifestyle,Lifestyle,3
Meek Mill,Blue Notes,DC4,3
Novo Amor,Weather,"Woodgate, NY",5
Drake,0 To 100 / The Catch Up,0 To 100 / The Catch Up,5
Logic,Gang Related,Under Pressure,5
Logic,Gang Related,Under Pressure,5
Logic,Gang Related,Under Pressure,0
Rich The Kid,New Freezer (feat. Kendrick Lamar),New Freezer (feat. Kendrick Lamar),3
Rich The Kid,New Freezer (feat. Kendrick Lamar),New Freezer (feat. Kendrick Lamar),5
DRAM,Gilligan,Gilligan (feat. A$AP Rocky & Juicy J),5
DRAM,Gilligan,Gilligan (feat. A$AP Rocky & Juicy J),3
TORRES,Honey,Torres,3
TORRES,Honey,Torres,0
TORRES,Honey,Torres,7
TORRES,Honey,Torres,6
Jeezy,R.I.P.,R.I.P.,5
Jonas Brothers,World War III,"Lines, Vines and Trying Times",5
VOVIII,Apache,Apache,3
Kid Ink,Bank,Summer In The Winter,3
Kid Ink,Bank,Summer In The Winter,3
Playboi Carti,Magnolia,Playboi Carti,3
Playboi Carti,Magnolia,Playboi Carti,5
Jazmine Sullivan,Dumb,Reality Show,3
Chet Faker,Talk Is Cheap,Built On Glass,5
Sage The Gemini,Reverse,Morse Code,3
Rihanna,Man Down,Loud,5
Rihanna,Man Down,Loud,3
Rihanna,Man Down,Loud,5
Rihanna,Man Down,Loud,5
Rihanna,Man Down,Loud,5
Lil Uzi Vert,SideLine Watching (Hold Up),The Perfect LUV Tape,3
Lil Uzi Vert,Ps & Qs,Lil Uzi Vert Vs. The World,3
Chief Keef,Hate Bein' Sober,Finally Rich,3
Chief Keef,Hate Bein' Sober,Finally Rich,6
Brent Faiyaz,Lovely,A.M. Paradox,3
Brent Faiyaz,Lovely,A.M. Paradox,0
JAY Z,Ni**as In Paris,Top Five,5
JAY Z,Ni**as In Paris,Top Five,5
JAY Z,Ni**as In Paris,Top Five,0
JAY Z,Ni**as In Paris,Top Five,1
Kendrick Lamar,"Bitch, Don’t Kill My Vibe","good kid, m.A.A.d city",5
Kendrick Lamar,"Bitch, Don’t Kill My Vibe","good kid, m.A.A.d city",5
Kendrick Lamar,"Bitch, Don’t Kill My Vibe","good kid, m.A.A.d city",6
Rae Sremmurd,Swang,SremmLife 2,3
Rae Sremmurd,Swang,SremmLife 2,1
Lecrae,Killa,Rehab,5
Lecrae,Killa,Rehab,0
Rappin' 4-Tay,Playaz Club,Don't Fight The Feelin',5
Gucci Mane,Lemonade,The State vs. Radric Davis,3
Gucci Mane,Lemonade,The State vs. Radric Davis,3
William Fitzsimmons,Ice Cream,From Cover to Cover: 30 Years at Nettwerk,5
Calvin Harris,Slide,Funk Wav Bounces Vol.1,3
Calvin Harris,Slide,Funk Wav Bounces Vol.1,3
Calvin Harris,Slide,Funk Wav Bounces Vol.1,7
Lil Uzi Vert,You Was Right,Lil Uzi Vert Vs. The World,3
Earl Sweatshirt,Off Top,"I Don't Like Shit, I Don't Go Outside: An Album by Earl Sweatshirt",5
Eminem,On Fire,Recovery,5
Eminem,On Fire,Recovery,6
Eminem,On Fire,Recovery,1
Eminem,On Fire,Recovery,1
Young Thug,Relationship (feat. Future),Beautiful Thugger Girls,5
Keith Stanfield,After Party,Short Term 12,5
Bob Dylan,Isis,Desire,5
22 Savage,The Race,Gangland,5
22 Savage,The Race,Gangland,0
Purple Reign,Perkys Calling,Purple Reign,3
Purple Reign,Perkys Calling,Purple Reign,3
Future Islands,North Star,The Far Field,3
Ummet Ozcan,Stars,Stars,5
Nappy Roots,Good Day,The Humdinger,3
Nappy Roots,Good Day,The Humdinger,0
Nappy Roots,Good Day,The Humdinger,1
Ty Dolla $ign,Juice,Campaign,5
Big Mont,Givenchy,Givenchy,3
PARTYNEXTDOOR,Ballin',PARTYNEXTDOOR,5
PARTYNEXTDOOR,Ballin',PARTYNEXTDOOR,7
Maxo Kream,Cell Boomin,#Maxo187,3
Tory Lanez,LUV,I Told You,3
CeCe Peniston,Finally,Finally,3
Logic,Super Mario World,Bobby Tarantino,5
Russ,Exposed,Exposed,5
GoldLink,Late Night,"And After That, We Didn't Talk",5
Craig Morgan,Party Girl,The Journey (Livin' Hits),3
Skepta,I Spy,Greatest Hits,5
Wilco,I Might,What's Your 20? Essential Tracks 1994 - 2014,5
YG,Who Do You Love?,My Krazy Life,3
Trey Songz,Foreign,Trigga,3
Trey Songz,Foreign,Trigga,0
Matt and Kim,Cameras,Sidewalks,3
Akon,Don't Matter,Konvicted,3
Akon,Don't Matter,Konvicted,7
Akon,Don't Matter,Konvicted,7
Brillz,WTF,TWONK,5
Brillz,WTF,TWONK,3
Post Malone,Feeling Whitney,Stoney,3
Post Malone,Feeling Whitney,Stoney,8
Ed Sheeran,Photograph,x,3
Ed Sheeran,Photograph,x,8
Ed Sheeran,Photograph,x,4
Ed Sheeran,Photograph,x,8
Rebecca Ferguson,Glitter & Gold,Heaven (Deluxe),5
Marié Digby,Say It Again,Unfold,5
Baauer,Kung Fu,Aa,5
Baauer,Kung Fu,Aa,0
Hopsin,Ill Mind of Hopsin 5,Ill Mind of Hopsin 5 - Single,3
Heavenly Beat,Lust,Talent,5
Heavenly Beat,Lust,Talent,0
Ms. Lauryn Hill,Lost Ones,The Miseducation of Lauryn Hill,5
Ms. Lauryn Hill,Lost Ones,The Miseducation of Lauryn Hill,1
Eminem,Mockingbird,Encore,5
Eminem,Mockingbird,Encore,5
Eminem,Mockingbird,Encore,1
Eminem,Mockingbird,Encore,1
Logic,Nikki,Under Pressure,5
Logic,Nikki,Under Pressure,5
Logic,Nikki,Under Pressure,4
Eryn Allen Kane,Have Mercy,Aviary: Act 1,3
Eryn Allen Kane,Have Mercy,Aviary: Act 1,3
Hopsin,Ill Mind of Hopsin 7,Pound Syndrome,5
Hopsin,Ill Mind of Hopsin 4,Ill Mind of Hopsin 4,3
Pouya,Yuh,Underground Underdog,5
Casey Abrams,Get Out,Casey Abrams,3
Casey Abrams,Get Out,Casey Abrams,4
Ben Rector,Favorite Song,Brand New,5
Smokepurpp,Krispy Kreme,Deadstar,5
VÉRITÉ,Saint,Somewhere in Between,5
Rae Sremmurd,Perplexing Pegasus,Perplexing Pegasus,3
Chance The Rapper,No Problem (feat. Lil Wayne & 2 Chainz),Coloring Book,5
Yo Gotti,Down In the DM,The Art of Hustle,5
Chance The Rapper,Same Drugs,Coloring Book,3
Trampled By Turtles,Codeine,Blue Sky and the Devil,3
Danny Brown,Grown Up,Grown Up,5
Danny Brown,Grown Up,Grown Up,1
Boyz II Men,End Of The Road,Cooleyhighharmony,5
Boyz II Men,End Of The Road,Cooleyhighharmony,2
Boyz II Men,End Of The Road,Cooleyhighharmony,6
Chance The Rapper,Smoke Break (feat. Future),Coloring Book,3
Lecrae,Fakin',Gravity (Digital Deluxe),5
Passenger,Let Her Go,All The Little Lights,3
Passenger,Let Her Go,All The Little Lights,8
Weezer,Feels Like Summer,Pacific Daydream,5
Tariq Da Hustla,Maze,Maze,5
Luke Bryan,Light It Up,Light It Up,3
Wu-Tang Clan,Method Man,Enter The Wu-Tang Clan - 36 Chambers (Deluxe Version),5
Tigerlily,Feel The Love,Feel The Love,3
Tigerlily,Feel The Love,Feel The Love,3
DJ Khaled,I'm Still,Suffering From Success,5
ScHoolboy Q,Dope Dealer,Blank Face LP,5
Girlpool,123,Powerplant,5
Cake,Long Time,Showroom Of Compassion,3
Cake,Long Time,Showroom Of Compassion,3
Kendrick Lamar,DNA.,DAMN.,3
Kendrick Lamar,DNA.,DAMN.,6
Rich Homie Quan,Gamble,Back To The Basics,3
Travis Barker,Raw Shit,Give The Drummer Some,5
Durk OTF,Jump Off,Gangland Vol. 1,3
Shy Glizzy,White Girl,Young Jefe,5
Future,Homicide,Pluto,5
Machine Gun Kelly,Spotlight,General Admission,5
Machine Gun Kelly,Spotlight,General Admission,1
Marian Hill,One Time,Sway,5
Chris Young,Voices,The Man I Want To Be,5
Chris Young,Voices,The Man I Want To Be,5
Chris Young,Voices,The Man I Want To Be,4
Azizi Gibson,Smoking with the Gods,Backward Books (Reloaded),3
Justin Timberlake,Cabaret,The 20/20 Experience - 2 of 2,3
Justin Timberlake,Cabaret,The 20/20 Experience - 2 of 2,3
Young Thug,Feel It,Beautiful Thugger Girls,3
Young Thug,Feel It,Beautiful Thugger Girls,5
Drake,Jumpman,What A Time To Be Alive,5
Drake,Jumpman,What A Time To Be Alive,1
Logic,44 Bars,Bobby Tarantino,3
Logic,44 Bars,Bobby Tarantino,7
Gucci Mane,No Smoke,The Return of East Atlanta Santa,5
Gucci Mane,No Smoke,The Return of East Atlanta Santa,5
Eminem,Sing For The Moment,The Eminem Show,5
Eminem,Sing For The Moment,The Eminem Show,1
Kendrick Lamar,m.A.A.d city,"good kid, m.A.A.d city",5
Kendrick Lamar,m.A.A.d city,"good kid, m.A.A.d city",0
Kendrick Lamar,m.A.A.d city,"good kid, m.A.A.d city",0
J. Cole,High For Hours,High For Hours,3
J. Cole,High For Hours,High For Hours,6
Logic,Soul Food,Under Pressure,5
Dave,Thiago Silva,Thiago Silva,5
Kevin Gates,The Truth,Islah,5
Twenty One Pilots,Stressed Out,Blurryface,5
Afrojack,No Beef,No Beef,3
Twenty One Pilots,Car Radio,Vessel,3
Kodak Black,Patty Cake,Painting Pictures,5
Tritonal,Untouchable,Untouchable,5
Tritonal,Untouchable,Untouchable,0
Tritonal,Untouchable,Untouchable,1
Young Thug,OD,Barter 6,3
Flatbush Zombies,Bounce,3001: A Laced Odyssey,3
Flatbush Zombies,Bounce,3001: A Laced Odyssey,0
Flatbush Zombies,Bounce,3001: A Laced Odyssey,7
Flatbush Zombies,Bounce,3001: A Laced Odyssey,6
Flatbush Zombies,Bounce,3001: A Laced Odyssey,6
Flatbush Zombies,Bounce,3001: A Laced Odyssey,1
2 Chainz,4 AM,Pretty Girls Like Trap Music,3
2 Chainz,I'm Different,Based On A T.R.U. Story,5
Drake,Summer Sixteen,Summer Sixteen,3
Lil Wayne,She Will,Tha Carter IV,5
Tee Grizzley,First Day Out,My Moment,5
Tee Grizzley,First Day Out,My Moment,5
2 Chainz,Good Drank,Pretty Girls Like Trap Music,5
2 Chainz,Good Drank,Pretty Girls Like Trap Music,5
Kodak Black,Transportin',Project Baby 2,5
Nicki Minaj,High School,Pink Friday: Roman Reloaded The Re-Up,3
Nicki Minaj,High School,Pink Friday: Roman Reloaded The Re-Up,3
A Boogie Wit da Hoodie,Jungle,Artist,3
A Boogie Wit da Hoodie,Jungle,Artist,3
A Boogie Wit da Hoodie,Jungle,Artist,7
A Boogie Wit da Hoodie,Jungle,Artist,7
A Boogie Wit da Hoodie,Jungle,Artist,1
Shawn Mendes,Like This,Illuminate,3
Shawn Mendes,Like This,Illuminate,6
Magic Bronson,Nervous,Nervous,3
Big Sean,I Know,Dark Sky Paradise,5
Big Sean,I Know,Dark Sky Paradise,5
Big Sean,I Know,Dark Sky Paradise,5
Big Sean,I Know,Dark Sky Paradise,7
Big Sean,I Know,Dark Sky Paradise,0
Young M.A,Hot Sauce,Herstory,3
The Real Tune,UOENO,Gotti 3,3
Flatbush Zombies,"New Phone, Who Dis?",3001: A Laced Odyssey,3
Hunter Hayes,21,The 21 Project,3
Hunter Hayes,21,The 21 Project,5
Hunter Hayes,21,The 21 Project,0
Drake,Preach,If You're Reading This It's Too Late,3
Drake,Preach,If You're Reading This It's Too Late,3
Drake,Preach,If You're Reading This It's Too Late,0
Logic,Flexicution,Bobby Tarantino,5
Yung Pinch,When I Was Yung,714Ever,3
Yung Pinch,Look Like,714Ever,3
Logic,Deeper Than Money,Bobby Tarantino,5
Logic,Under Pressure,Under Pressure,5
Logic,Under Pressure,Under Pressure,4
Logic,Under Pressure,Under Pressure,0
Logic,Under Pressure,Under Pressure,1
Ofelia K,Bad Boys,Chaos Cave,3
50 Cent,Get Low,Get Low,3
50 Cent,Get Low,Get Low,0
50 Cent,Get Low,Get Low,6
A Boogie Wit da Hoodie,My Shit,Artist,5
A Boogie Wit da Hoodie,My Shit,Artist,5
Logic,Paradise,The Incredible True Story,5
Logic,Paradise,The Incredible True Story,5
Logic,Paradise,The Incredible True Story,7
Logic,Paradise,The Incredible True Story,6
Lil Uzi Vert,Top,Luv Is Rage,5
Logic,Lord Willin',The Incredible True Story,5
Logic,I'm Gone,Under Pressure,3
Logic,I'm Gone,Under Pressure,5
Chance The Rapper,All Night (feat. Knox Fortune),Coloring Book,5
Erick Macek,I'll Be Fine,Colors May Change,5
Erick Macek,I'll Be Fine,Colors May Change,6
French Montana,Unforgettable,Jungle Rules,5
A Boogie Wit da Hoodie,99 Problems & Messages,TBA,5
6LACK,Ex Calling,FREE 6LACK,3
6LACK,Ex Calling,FREE 6LACK,7
A$AP Rocky,Phoenix,LONG.LIVE.A$AP (Deluxe Version),3
A$AP Rocky,Phoenix,LONG.LIVE.A$AP (Deluxe Version),3
A$AP Rocky,Phoenix,LONG.LIVE.A$AP (Deluxe Version),3
Kodak Black,Too Many Years,Lil Big Pac,5
Drake,Do Not Disturb,More Life,5
Drake,Do Not Disturb,More Life,5
Post Malone,Go Flex,Stoney,3
Post Malone,Go Flex,Stoney,3
Post Malone,Go Flex,Stoney,6
JAY Z,Crown,Magna Carta... Holy Grail,3
JAY Z,Crown,Magna Carta... Holy Grail,3
Khalid,Young Dumb & Broke,American Teen,3
Chance The Rapper,All We Got (feat. Kanye West & Chicago Children's Choir),Coloring Book,3
Darius Rucker,Alright,Learn To Live,5
Darius Rucker,Alright,Learn To Live,1
Post Malone,Big Lie,Stoney,5
Kanye West,Black Skinhead,Yeezus,5
Knife Party,Bonfire,Rage Valley EP,5
Big Sean,Bounce Back,I Decided.,3
Big Sean,Bounce Back,I Decided.,3
Big Sean,Bounce Back,I Decided.,0
Big Sean,Bounce Back,I Decided.,1
Logic,Driving Ms Daisy,Under Pressure,5
Kanye West,Famous,The Life Of Pablo,5
Kanye West,Famous,The Life Of Pablo,4
Kanye West,Famous,The Life Of Pablo,7
Kanye West,Famous,The Life Of Pablo,7
Kanye West,Famous,The Life Of Pablo,6
Kanye West,Famous,The Life Of Pablo,1
Green Day,21 Guns,21st Century Breakdown,5
Kanye West,Gold Digger,Late Registration,5
Kanye West,Gold Digger,Late Registration,0
Kanye West,Gold Digger,Late Registration,1
Kanye West,Gold Digger,Late Registration,1
JAY Z,Gotta Have It,Watch The Throne,3
JAY Z,Gotta Have It,Watch The Throne,3
ScHoolboy Q,Hands On The Wheel,Hands On The Wheel,5
ScHoolboy Q,Hands On The Wheel,Hands On The Wheel,1
Post Malone,No Option,Stoney,5
Green Day,Good Riddance (Time of Your Life),Nimrod,3
Big Sean,No Favors,I Decided.,5
Big Sean,No Favors,I Decided.,6
Luke Tennyson,Favorite Colors (feat. Kyle),Restoration of an American Idol,3
Kendrick Lamar,ELEMENT.,DAMN.,5
Kendrick Lamar,ELEMENT.,DAMN.,5
Kendrick Lamar,ELEMENT.,DAMN.,1
Big Sean,Sacrifices,I Decided.,3
Big Sean,Sacrifices,I Decided.,7
Wale,Running Back (feat. Lil Wayne),SHINE,5
Wale,Running Back (feat. Lil Wayne),SHINE,5
Kendrick Lamar,XXX. FEAT. U2.,DAMN.,5
Drake,Free Smoke,More Life,5
Kid Cudi,Simple As...,Man On The Moon: The End Of Day,5
Metronomy,Do the Right Thing,Not Made For Love,5
50 Cent,21 Questions,Get Rich Or Die Tryin',5
50 Cent,21 Questions,Get Rich Or Die Tryin',5
50 Cent,21 Questions,Get Rich Or Die Tryin',0
50 Cent,21 Questions,Get Rich Or Die Tryin',1
Sam Sure,Cracks,Cracks,3
2Pac,All Eyez On Me,All Eyez On Me,5
Geto Boys,Mind Playing Tricks on Me,We Can't Be Stopped,3
Eazy-E,Boyz-N-The-Hood,The Best Of N.W.A: The Strength Of Street Knowledge,5
Eazy-E,Boyz-N-The-Hood,The Best Of N.W.A: The Strength Of Street Knowledge,5
San Cisco,Reckless,Awkward,3
San Cisco,Reckless,Awkward,5
San Cisco,Reckless,Awkward,0
Chief Keef,Understand Me,Finally Rich,5
YBN Nahmir,Rubbin off the Paint,Rubbin off the Paint,5
YBN Nahmir,Rubbin off the Paint,Rubbin off the Paint,5
Allie X,Vintage,CollXtion II,7
Frank Ocean,Novacane,Novacane,5
Frank Ocean,Novacane,Novacane,3
Frank Ocean,Novacane,Novacane,6
Anne-Marie,Heavy,Heavy,3
Anne-Marie,Heavy,Heavy,5
Anne-Marie,Heavy,Heavy,3
Jason Derulo,Undefeated,Future History Platinum Edition,3
Eminem,Bad Guy,The Marshall Mathers LP2,5
Eminem,Bad Guy,The Marshall Mathers LP2,7
The Beach Boys,In My Room,Surfer Girl,3
Frank Ocean,Chanel,Chanel,3
Mick Jenkins,Jazz,The Water (S),3
Mick Jenkins,Jazz,The Water (S),6
Kendrick Lamar,Swimming Pools (Drank) - Extended Version,"good kid, m.A.A.d city",5
Kendrick Lamar,Swimming Pools (Drank) - Extended Version,"good kid, m.A.A.d city",6
Pac Div,Shut Up,Pacific Division EP,5
Pac Div,Shut Up,Pacific Division EP,0
Desiigner,Liife,Liife,5
Tee Grizzley,No Effort,My Moment,3
Comet Blue,Spaceship,Spaceship,3
Birdman,You Ain't Know,Like Father Like Son,5
Neck Deep,Serpents,Life's Not Out To Get You,5
Yung Simmie,Kill Bill,Simmie Season,3
Yung Simmie,Kill Bill,Simmie Season,5
Saba,Stoney,Bucket List Project,5
Ab-Soul,Pineal Gland,Control System,5
Sublime,Santeria,Sublime,5
Ab-Soul,Terrorist Threats (feat. Danny Brown & Jhene Aiko),Control System,3
Mike Stud,These Days,This Isn't The Album,5
Mike Stud,These Days,This Isn't The Album,5
Mike Stud,These Days,This Isn't The Album,5
Mike Stud,These Days,This Isn't The Album,3
Mike Stud,These Days,This Isn't The Album,4
Mike Stud,These Days,This Isn't The Album,7
Mura Masa,Love$ick (feat. A$AP Rocky),Mura Masa,5
Matt Corby,Monday,Telluric,3
SOB X RBE,Anti,SOB X RBE,5
